logFC_R1	logCPM_R1	PValue_R1	FDR_R1	logFC_S1	logCPM_S1	PValue_S1	FDR_S1	logFC_R2	logCPM_R2	PValue_R2	FDR_R2	logFC_I1	logCPM_I1	PValue_I1	FDR_I1	logFC_I1_vs_S1	logCPM_I1_vs_S1	PValue_I1_vs_S1	FDR_I1_vs_S1	logFC_R2_vs_S1	logCPM_R2_vs_S1	PValue_R2_vs_S1	FDR_R2_vs_S1	logFC_R1_vs_S1	logCPM_R1_vs_S1	PValue_R1_vs_S1	FDR_R1_vs_S1	geneID
-0.20734184501802108	5.833208055731992	0.08444466529213562	0.3966520545764398	0.05141025475047502	5.833208055731992	0.6716750805526643	0.9178126068704268	0.1017874223406422	5.833208055731992	0.39294113664193053	1	0.18033533128006143	5.833208055731992	0.12691981892036963	0.640117347598386	0.12892536473760713	5.833208055731992	0.2713232614093594	0.7665117216056567	0.050376862830059654	5.833208055731992	0.6708757378548988	0.966155129814473	-0.2587548453119743	5.833208055731992	0.03033739039130003	1	B9J08_000011
0.26050000602859946	6.32174048476099	0.04887384937651813	0.31352329357762576	0.058253879573702635	6.32174048476099	0.6626904430916601	0.9144339809508918	-0.021434846547078907	6.32174048476099	0.8743678076302914	1	0.01952529710793709	6.32174048476099	0.8881975575675408	0.9927273611254528	-0.038729381966903856	6.32174048476099	0.7684721095961051	0.9562196344987003	-0.07968978405010359	6.32174048476099	0.5476884564495547	0.9230782070798559	0.2022472353367112	6.32174048476099	0.12509999057895266	1	B9J08_000012
0.2559791390817679	8.129104360116369	0.02328720788079159	0.22820838081594894	0.19974105853431529	8.129104360116369	0.0769064364930865	0.394210851545924	0.06954053461836618	8.129104360116369	0.5391490709876283	1	-0.18478942362249248	8.129104360116369	0.10203714936533219	0.5949664199846938	-0.38453169924767605	8.129104360116369	6.552245441393147e-4	0.0339444482284212	-0.13020127347449192	8.129104360116369	0.2472688667458521	0.7841854995469582	0.05623804722624559	8.129104360116369	0.6174703382059397	1	B9J08_000013
-0.3010035674911136	5.816499436362626	0.06845153527679096	0.35928694158684854	-0.21731491340149728	5.816499436362626	0.18915221938600899	0.5804535435868249	0.03625060620127901	5.816499436362626	0.825662132725065	1	-0.01087347889338934	5.816499436362626	0.9534473547260782	1	0.20644619314897983	5.816499436362626	0.20893953454127323	0.7124384031950898	0.25357065094326026	5.816499436362626	0.12278137703354632	0.6453634799456636	-0.08368880946843353	5.816499436362626	0.6136212301825473	1	B9J08_000014
0.14695375980632022	7.385050530916926	0.26356716525160667	0.6484068205544368	-8.921561306172596e-4	7.385050530916926	0.995724400609351	1	-0.019862007331181805	7.385050530916926	0.8802930468485002	1	-0.11070711239714409	7.385050530916926	0.40055501003958655	0.884303489272335	-0.10981527518742734	7.385050530916926	0.4039718427877109	0.8346769804636442	-0.01896990104056326	7.385050530916926	0.8858213343702753	0.9920802433826499	0.14784635937035687	7.385050530916926	0.2598647231572955	1	B9J08_000015
-0.3543727716215396	5.8365173919302755	0.0037124183022653775	0.08429559174845981	-0.2491746395920887	5.8365173919302755	0.041561919795268	0.2892085261070128	0.04915181915009548	5.8365173919302755	0.6878239794547142	1	0.017924134875774708	5.8365173919302755	0.8864255445079662	0.9927273611254528	0.26710443800480443	5.8365173919302755	0.027564790876253496	0.32115898985612373	0.29833236352258125	5.8365173919302755	0.01380684909404054	0.3119649448843553	-0.10519842391924143	5.8365173919302755	0.39051469164150743	1	B9J08_000016
-0.5869319601854477	4.17225876358594	0.005526645120713455	0.11008831759168977	-0.27432515273147956	4.17225876358594	0.1901645603566348	0.581026623622473	0.281989567744488	4.17225876358594	0.16546269195107702	1	0.40833470004046	4.17225876358594	0.04377677753922014	0.40837916949174585	0.6826902207248697	4.17225876358594	8.359498448157365e-4	0.04018584118861955	0.5563425290063113	4.17225876358594	0.006535669411514935	0.23320945667101786	-0.3126163487465238	4.17225876358594	0.14387524231375348	1	B9J08_000017
-0.38625079131771145	5.829128382309677	0.0013487539167101456	0.04388384694856913	-0.30336452494995203	5.829128382309677	0.01191293514457226	0.1672826892932568	0.0025122585797904746	5.829128382309677	0.9825266632061906	1	-0.07102975723417292	5.829128382309677	0.5536086937280132	0.934394566088194	0.23234091173593513	5.829128382309677	0.05280802900600311	0.4523011922568741	0.3058834893722128	5.829128382309677	0.010437020267127855	0.2962337241776289	-0.08288615491094106	5.829128382309677	0.49384075723131005	1	B9J08_000018
0.07995419575079718	8.445218015580142	0.4767648515583628	0.8114599653891942	-0.07682031642684992	8.445218015580142	0.4942812601559086	0.8364326139444508	-0.09897277391604004	8.445218015580142	0.37823842169520383	1	-0.1422786260195877	8.445218015580142	0.20463809134848823	0.7318692060559875	-0.0654582331042041	8.445218015580142	0.5592801350862795	0.8975394889685376	-0.0221523197914395	8.445218015580142	0.8443916901137478	0.9859618147210756	0.1567747800928066	8.445218015580142	0.1623892154787628	1	B9J08_000019
-0.00347302186775948	11.342869228843094	0.9758792905792306	0.997821894336376	0.0739299359536708	11.342869228843094	0.5191558858382517	0.8495843397054154	-0.06029463339912605	11.342869228843094	0.5989426093638844	1	4.729822486889849e-5	11.342869228843094	0.9996962629280466	1	-0.07388267206277478	11.342869228843094	0.5193929576587648	0.8831997520927881	-0.13422461484545237	11.342869228843094	0.24170055557499057	0.7778734406201143	-0.077402978123238	11.342869228843094	0.499605192363377	1	B9J08_000020
