CGDID	geneID	logFC	logCPM	PValue	FDR	protAlbicans	albGeneName	function	A19ID	GeneName
C6_01190C_A	B9J08_005396	0.26565588917727934	5.468606263677145	0.0341874292090072	0.3715358905483959	C6_01190C_A-T-p1	C6_01190C_A	Non-specific serine/threonine protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1D8PPK3]	orf19.130	VPS15
C6_01200W_A	B9J08_005399	-0.027091363110708404	4.930784545725707	0.8527602529574089	0.9847184039846337	C6_01200W_A-T-p1	C6_01200W_A	Ortholog of C. dubliniensis CD36 : Cd36_61330, C. parapsilosis CDC317 : CPAR2_602800, C. auris B8441 : B9J08_005399 and Candida tenuis NRRL Y-1498 : CANTEDRAFT_94450	orf19.131	NA
C6_01210W_A	B9J08_005400	-0.17276250156319528	7.372971357495824	0.09776793988633868	0.5884213177333253	C6_01210W_A-T-p1	C6_01210W_A	(orf19.131.2) Ortholog of S. cerevisiae : YPR063C, C. glabrata CBS138 : CAGL0D01540g, C. dubliniensis CD36 : Cd36_61340, C. parapsilosis CDC317 : CPAR2_602790 and C. auris B8441 : B9J08_005400	orf19.131.2	NA
C6_01220C_A	B9J08_005401	-0.08573917807729765	6.239137859688935	0.45995441722928915	0.900093406914872	C6_01220C_A-T-p1	C6_01220C_A	Ortholog(s) have role in histone deacetylation, negative regulation of chromatin silencing at telomere, negative regulation of meiotic nuclear division and positive regulation of stress-activated MAPK cascade, more	orf19.132	NA
C6_01280W_A	B9J08_005402	-0.18262716200370196	6.630351520766946	0.07549380789456617	0.5286548017393767	C6_01280W_A-T-p1	C6_01280W_A	Exocyst complex component EXO84 [Source:UniProtKB/Swiss-Prot;Acc:Q59XM1]	orf19.135	EXO84
C6_01290C_A	B9J08_005403	0.10426828488308798	4.082750554632211	0.5551032186093656	0.934394566088194	C6_01290C_A-T-p1	C6_01290C_A	MFS antiporter QDR3 [Source:UniProtKB/Swiss-Prot;Acc:Q59XM0]	orf19.136	QDR3
C6_01290C_A	B9J08_005172	0.19445201389938147	4.117294215891552	0.5894687875151982	0.943966635946503	C6_01290C_A-T-p1	C6_01290C_A	MFS antiporter QDR3 [Source:UniProtKB/Swiss-Prot;Acc:Q59XM0]	orf19.136	QDR3
C6_01300W_A	B9J08_005404	0.017462120148889548	6.51161224272676	0.8731374701738547	0.9913801753618898	C6_01300W_A-T-p1	C6_01300W_A	PlsC domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PPL6]	orf19.137	NA
C6_01310W_A	B9J08_005405	0.5869428166497954	0.1456144053320698	0.21619902250394363	0.7438010260122226	C6_01310W_A-T-p1	C6_01310W_A	Fig1p [Source:UniProtKB/TrEMBL;Acc:Q59WR6]	orf19.138	FIG1
C6_01320W_A	B9J08_005406	-0.04852282140702349	8.324317926139978	0.6307734047169524	0.9542973880265546	C6_01320W_A-T-p1	C6_01320W_A	Histone acetyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1D8PPL1]	orf19.139	TRA1
C6_01340C_A	B9J08_005407	0.1917283854075576	5.171469678056398	0.16058417114111848	0.6812118991655356	C6_01340C_A-T-p1	C6_01340C_A	Phosphatidylglycerophosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1D8PPL4]	orf19.3449.2	NA
C6_01350W_A	B9J08_005408	-0.1336555757817237	5.26237314365925	0.3258200921081496	0.837867957344138	C6_01350W_A-T-p1	C6_01350W_A	RING-type E3 ubiquitin transferase [Source:UniProtKB/TrEMBL;Acc:A0A1D8PPK7]	orf19.3449	NA
C6_01360W_A	B9J08_002372	-0.2854715397301158	6.45850721803197	0.295684462366269	0.819415349904462	C6_01360W_A-T-p1	C6_01360W_A	Protein of unknown function, ketoconazole-repressed	orf19.3448	NA
C6_01370W_A	B9J08_002380	0.027602950343167384	5.95511557575321	0.8249676764985473	0.9818193415247979	C6_01370W_A-T-p1	C6_01370W_A	Protein PBN1 [Source:UniProtKB/Swiss-Prot;Acc:Q5A4J4]	orf19.3447	NA
C6_01380C_A	B9J08_002373	0.20740649997461852	6.119622530096214	0.06796985030232562	0.4994296889267233	C6_01380C_A-T-p1	C6_01380C_A	Ran GTPase-binding protein [Source:UniProtKB/TrEMBL;Acc:Q5A4J5]	orf19.3446	NA
C6_01390W_A	B9J08_002374	0.04189059140166822	6.875857883160704	0.7167081243094223	0.9664601201388485	C6_01390W_A-T-p1	C6_01390W_A	Alpha-1,6-mannosyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A1D8PPM7]	orf19.3445	HOC1
C6_01430C_A	B9J08_002951	-0.20729105197729325	3.526183613066606	0.25824239519224546	0.7878681650919507	C6_01430C_A-T-p1	C6_01430C_A	Frp6p [Source:UniProtKB/TrEMBL;Acc:Q5A4K0]	orf19.3441	FRP6
C6_01460C_A	B9J08_002379	0.06071446052027731	6.291867329698711	0.6030362240892312	0.946055945621506	C6_01460C_A-T-p1	C6_01460C_A	Ortholog(s) have chaperone binding activity, role in protein folding in endoplasmic reticulum, response to unfolded protein, ubiquitin-dependent ERAD pathway and endoplasmic reticulum lumen localization	orf19.3438	NA
C6_01470W_A	B9J08_000828	0.17252823341405857	4.215207338348522	0.33663271592465094	0.8476980519933636	C6_01470W_A-T-p1	C6_01470W_A	Has domain(s) with predicted serine-type endopeptidase activity and role in proteolysis	orf19.3437	NA
C6_01500C_A	B9J08_000829	-0.206200715814204	3.88129593670519	0.40838249591003206	0.8883930198932167	C6_01500C_A-T-p1	C6_01500C_A	Transcriptional regulator of yeast form adherence 5 [Source:UniProtKB/Swiss-Prot;Acc:Q5A4K7]	orf19.3434	TRY5
C6_01510W_A	B9J08_002413	0.13352224753936817	4.051609209645387	0.5692339744908324	0.9377414930383243	C6_01510W_A-T-p1	C6_01510W_A	Oxidored_FMN domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PPM9]	orf19.3433	OYE23
C6_01520W_A	B9J08_000797	0.23186742913810726	3.900094430920745	0.13496894168679296	0.6465434605771602	C6_01520W_A-T-p1	C6_01520W_A	MFS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5A4K9]	orf19.3432	NA
C6_01550C_A	B9J08_005391	-0.06168865332772202	6.467159737924557	0.5871947806468986	0.9432437782584779	C6_01550C_A-T-p1	C6_01550C_A	Mitochondrial DNA polymerase catalytic subunit [Source:UniProtKB/TrEMBL;Acc:A0A1D8PPN3]	orf19.3431	NA
C6_01560W_A	B9J08_005390	-0.07786213800106975	8.559794054489442	0.6183264482585256	0.9505588959687388	C6_01560W_A-T-p1	C6_01560W_A	Plasma membrane-associated protein, physically interacts with TAP-tagged Nop1p	orf19.3430	NA
C6_01570C_A	B9J08_005389	-0.03149332676565256	5.577382733635074	0.8149382731992041	0.9805178226333999	C6_01570C_A-T-p1	C6_01570C_A	Fgr47p [Source:UniProtKB/TrEMBL;Acc:A0A1D8PPN1]	orf19.3429	FGR47
C6_01590W_A	B9J08_005388	-0.12086085230725861	6.967877838875008	0.33894872603143505	0.8493636643855713	C6_01590W_A-T-p1	C6_01590W_A	PWWP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5A4L3]	orf19.3428	NA
C6_01610W_A	B9J08_005387	-0.1317703672254781	11.304238810837205	0.1983827944859527	0.7245520817091331	C6_01610W_A-T-p1	C6_01610W_A	Eukaryotic translation initiation factor 5A [Source:UniProtKB/Swiss-Prot;Acc:O94083]	orf19.3426	ANB1
C6_01620W_A	B9J08_005386	0.00585619288228327	6.279458731099649	0.9672524183439472	1	C6_01620W_A-T-p1	C6_01620W_A	RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PPP6]	orf19.3425	NA
C6_01630W_A	B9J08_005385	-0.03008029790708671	7.873736412009526	0.8140310966310814	0.9805178226333999	C6_01630W_A-T-p1	C6_01630W_A	RRM domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PPQ1]	orf19.3423	TIF3
C6_01640W_A	B9J08_005384	-0.33790495699404216	5.770443325477571	0.030160552019528736	0.3453577372879943	C6_01640W_A-T-p1	C6_01640W_A	Mediator of RNA polymerase II transcription subunit 19 [Source:UniProtKB/TrEMBL;Acc:A0A1D8PPP5]	orf19.3421.1	MED19
C6_01650C_A	B9J08_005383	-0.02998687643057522	7.099133793061246	0.781856491710306	0.9743078560873875	C6_01650C_A-T-p1	C6_01650C_A	Fmp27p [Source:UniProtKB/TrEMBL;Acc:A0A1D8PPN8]	orf19.3422	FMP27
C6_01670W_A	B9J08_005497	-0.2957435591688995	8.88722701492838	0.031376469418867486	0.35050393493723614	C6_01670W_A-T-p1	C6_01670W_A	Malate dehydrogenase (Oxaloacetate-decarboxylating) [Source:UniProtKB/TrEMBL;Acc:Q5A4M2]	orf19.3419	MAE1
C6_01680C_A	B9J08_001369	0.20676547266951725	2.6671945312043985	0.36150630620126084	0.8661735015857399	C6_01680C_A-T-p1	C6_01680C_A	Guanidinobutyrase (Gbase), enzyme involved in metabolism of guanidinobutyrate	orf19.3418	NA
C6_01680C_A	B9J08_004531	0.17695933045472778	2.7007776592516857	0.4630983166855686	0.9015672820340197	C6_01680C_A-T-p1	C6_01680C_A	Guanidinobutyrase (Gbase), enzyme involved in metabolism of guanidinobutyrate	orf19.3418	NA
C6_01690W_A	B9J08_004532	0.30794788276439855	6.258118594364537	0.060723452285402	0.47650050205133093	C6_01690W_A-T-p1	C6_01690W_A	Endo-1,3(4)-beta-glucanase [Source:UniProtKB/TrEMBL;Acc:A0A1D8PPP4]	orf19.3417	ACF2
C6_01690W_A	B9J08_003480	-0.3113606782745665	3.7536508435084386	0.11098990183055478	0.6159810182164707	C6_01690W_A-T-p1	C6_01690W_A	Endo-1,3(4)-beta-glucanase [Source:UniProtKB/TrEMBL;Acc:A0A1D8PPP4]	orf19.3417	ACF2
C6_01700W_A	B9J08_005382	-8.846012739900548e-5	11.586914513327704	0.9993460408527499	1	C6_01700W_A-T-p1	C6_01700W_A	Ribosomal 60S subunit protein L32 [Source:UniProtKB/TrEMBL;Acc:A0A1D8PPN6]	orf19.3415.1	RPL32
C6_01710C_A	B9J08_005381	0.2425609237889667	5.392481366326864	0.11766823846886494	0.6278777204698633	C6_01710C_A-T-p1	C6_01710C_A	Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q5A4M7]	orf19.3415	PTK2
C6_01720C_A	B9J08_005380	0.21137278883466853	8.750461163741532	0.06978525951036167	0.5032083037125539	C6_01720C_A-T-p1	C6_01720C_A	Protein SUR7 [Source:UniProtKB/Swiss-Prot;Acc:Q5A4M8]	orf19.3414	SUR7
C6_01740C_A	B9J08_005379	0.08319958489437389	4.211621488490782	0.6166183874496547	0.9505588959687388	C6_01740C_A-T-p1	C6_01740C_A	Putative lipase ATG15 [Source:UniProtKB/Swiss-Prot;Acc:Q5A4N0]	orf19.3412	ATG15
C6_01750C_A	B9J08_005378	0.02528726276134257	6.947727994013064	0.8071182950903553	0.9789041543120096	C6_01750C_A-T-p1	C6_01750C_A	Pyridoxal kinase [Source:UniProtKB/TrEMBL;Acc:A0A1D8PPQ5]	orf19.3411	NA
C6_01760W_A	B9J08_005377	-0.029650890301205612	7.404164073287316	0.7777488469247436	0.9730203293130926	C6_01760W_A-T-p1	C6_01760W_A	Sec12p [Source:UniProtKB/TrEMBL;Acc:A0A1D8PPP9]	orf19.3409	SEC12
C6_01770W_A	B9J08_005376	0.12047478973808075	4.026918703983786	0.49255346760112856	0.913954604451773	C6_01770W_A-T-p1	C6_01770W_A	Postreplication repair E3 ubiquitin-protein ligase RAD18 [Source:UniProtKB/Swiss-Prot;Acc:Q5A4N5]	orf19.3407	RAD18
C6_01780C_A	B9J08_005375	0.021953278746229286	6.586946583883824	0.8768045130587568	0.9919411140501061	C6_01780C_A-T-p1	C6_01780C_A	Predicted chloride transporter, member of conserved Mcm1 regulon, Spider biofilm repressed	orf19.3406	NA
C6_01790C_A	B9J08_001285	-0.15158998378933522	4.788379037831069	0.26664021066818555	0.7978856788379373	C6_01790C_A-T-p1	C6_01790C_A	Zn(2)-C6 fungal-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PPQ3]	orf19.3405	ZCF18
C6_01790C_A	B9J08_000793	-0.08103581111002411	5.7333727117727	0.5325267863243854	0.9307830458475645	C6_01790C_A-T-p1	C6_01790C_A	Zn(2)-C6 fungal-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PPQ3]	orf19.3405	ZCF18
C6_01790C_A	B9J08_000794	0.20953876822021267	5.1533142403622625	0.2207452839892738	0.7498077657408737	C6_01790C_A-T-p1	C6_01790C_A	Zn(2)-C6 fungal-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PPQ3]	orf19.3405	ZCF18
C6_01820C_A	B9J08_005496	0.21351200939257814	5.545879398942996	0.07862886540514878	0.5379020843613768	C6_01820C_A-T-p1	C6_01820C_A	DNA-(apurinic or apyrimidinic site) lyase [Source:UniProtKB/TrEMBL;Acc:A0A1D8PPQ0]	orf19.3402	FPG1
C6_01830W_A	B9J08_005493	-0.018523904469835456	6.050198785831243	0.8889151670647326	0.9927273611254528	C6_01830W_A-T-p1	C6_01830W_A	Cta1p [Source:UniProtKB/TrEMBL;Acc:Q5A4P1]	orf19.3401	CTA1
C6_01840C_A	B9J08_005369	-0.1716762826728322	6.313085188203372	0.12864929218405496	0.6436242011478744	C6_01840C_A-T-p1	C6_01840C_A	Ubiquinone biosynthesis O-methyltransferase, mitochondrial [Source:UniProtKB/TrEMBL;Acc:Q5A4P2]	orf19.3400	COQ3
C6_01850W_A	B9J08_005370	-0.2608084105500889	7.0949844315973785	0.041952730820372014	0.40262548859263503	C6_01850W_A-T-p1	C6_01850W_A	YL1_C domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PPR9]	orf19.3399	NA
C6_01860C_A	B9J08_005371	-0.5981040392573066	7.593209351795118	0.011134955133089777	0.2217019425006233	C6_01860C_A-T-p1	C6_01860C_A	Aha1_N domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PPR5]	orf19.3396	HCH1
C6_01880W_A	B9J08_005372	-0.0638122774976961	6.27623789906309	0.6358683155305088	0.9545656866580899	C6_01880W_A-T-p1	C6_01880W_A	Predicted membrane protein, induced by alpha pheromone in SpiderM medium	orf19.3394	NA
C6_01890C_A	B9J08_005373	0.2614560655113787	5.58145373244661	0.14961092389945008	0.6681887805491578	C6_01890C_A-T-p1	C6_01890C_A	ATP-dependent RNA helicase DBP9 [Source:UniProtKB/Swiss-Prot;Acc:Q5A4P9]	orf19.3393	NA
C6_01900C_A	B9J08_001771	-0.008193101677301367	6.049014160779217	0.9447382916562741	1	C6_01900C_A-T-p1	C6_01900C_A	2-deoxyglucose-6-phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A1D8PPR2]	orf19.3392	DOG1
C6_01910W_A	B9J08_005499	-0.18285419671882536	9.433948200642758	0.0982540093891291	0.5884213177333253	C6_01910W_A-T-p1	C6_01910W_A	Adenylate kinase [Source:UniProtKB/Swiss-Prot;Acc:Q5A4Q1]	orf19.3391	ADK1
C6_01920C_A	B9J08_003182	-0.14150842267822308	6.722524404528171	0.2744155692191829	0.8034752861427165	C6_01920C_A-T-p1	C6_01920C_A	CID domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PPQ9]	orf19.684	NA
C6_01920C_A	B9J08_005500	-0.07431327756862628	6.346912344037312	0.48644964384851613	0.9097838087560487	C6_01920C_A-T-p1	C6_01920C_A	CID domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1D8PPQ9]	orf19.684	NA
